loan_amnt,term,int_rate,sub_grade,verification_status,addr_state,dti,open_acc,revol_util,total_acc,last_fico_range_high,last_fico_range_low,avg_cur_bal,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,pct_tl_nvr_dlq,loan_status
20200.0, 60 months,18.49,D5,Source Verified,CA,34.84,10.0,40.6,16.0,564.0,560.0,4322.0,74.0,7.0,100.0,Charged Off
23975.0, 60 months,19.89,E3,Not Verified,VA,33.2,10.0,94.9,19.0,519.0,515.0,6406.0,240.0,4.0,100.0,Charged Off
15000.0, 60 months,10.78,B4,Not Verified,AL,29.28,18.0,69.8,32.0,704.0,700.0,12455.0,171.0,12.0,100.0,Fully Paid
10000.0, 36 months,10.78,B4,Not Verified,IN,15.78,18.0,52.5,33.0,714.0,710.0,9350.0,124.0,16.0,100.0,Fully Paid
15000.0, 36 months,8.49,B1,Not Verified,NJ,13.24,16.0,41.4,33.0,734.0,730.0,20490.0,150.0,7.0,100.0,Fully Paid
23100.0, 60 months,20.5,E4,Not Verified,DE,20.43,11.0,94.9,24.0,584.0,580.0,5505.0,352.0,3.0,87.5,Charged Off
27300.0, 36 months,17.27,D3,Not Verified,NY,25.63,14.0,83.0,38.0,524.0,520.0,18316.0,157.0,11.0,100.0,Charged Off
25000.0, 60 months,11.48,B5,Not Verified,TX,4.65,16.0,13.5,33.0,709.0,705.0,1470.0,100.0,7.0,97.0,Fully Paid
15000.0, 36 months,10.78,B4,Verified,TX,10.17,7.0,75.3,9.0,724.0,720.0,2045.0,110.0,3.0,100.0,Fully Paid
10000.0, 60 months,16.59,D2,Source Verified,OH,30.84,19.0,26.6,36.0,559.0,555.0,3432.0,162.0,3.0,96.9,Fully Paid
18500.0, 60 months,12.88,C2,Source Verified,TX,13.2,9.0,57.8,19.0,724.0,720.0,13763.0,162.0,3.0,89.5,Fully Paid
5000.0, 36 months,7.91,A5,Source Verified,OH,13.73,7.0,41.1,10.0,659.0,655.0,1666.0,46.0,16.0,100.0,Fully Paid
9000.0, 36 months,9.17,B2,Not Verified,KS,11.98,5.0,48.5,11.0,589.0,585.0,8054.0,174.0,4.0,100.0,Fully Paid
11000.0, 36 months,6.49,A2,Not Verified,MA,15.0,12.0,20.1,31.0,694.0,690.0,2927.0,121.0,18.0,100.0,Fully Paid
20000.0, 36 months,6.49,A2,Not Verified,TN,29.15,9.0,23.8,23.0,749.0,745.0,25644.0,255.0,8.0,95.7,Fully Paid
15000.0, 36 months,5.32,A1,Not Verified,VA,20.18,30.0,21.4,47.0,799.0,795.0,13773.0,272.0,2.0,97.9,Fully Paid
8000.0, 36 months,10.78,B4,Not Verified,MI,21.23,28.0,35.5,69.0,769.0,765.0,5926.0,215.0,4.0,97.1,Fully Paid
12000.0, 36 months,10.78,B4,Not Verified,NJ,31.95,16.0,41.4,22.0,524.0,520.0,2128.0,91.0,10.0,90.5,Fully Paid
18000.0, 36 months,7.49,A4,Not Verified,NH,25.65,12.0,33.2,47.0,529.0,525.0,25410.0,175.0,6.0,97.8,Fully Paid
3600.0, 36 months,11.48,B5,Source Verified,VA,17.44,12.0,28.7,23.0,729.0,725.0,33919.0,129.0,16.0,100.0,Fully Paid
7200.0, 36 months,17.27,D3,Verified,MA,13.21,8.0,32.6,17.0,549.0,545.0,913.0,152.0,5.0,94.1,Charged Off
15000.0, 60 months,13.44,C3,Source Verified,FL,18.17,17.0,25.8,44.0,734.0,730.0,9720.0,168.0,3.0,100.0,Fully Paid
5000.0, 36 months,9.8,B3,Not Verified,NC,6.52,11.0,56.3,20.0,744.0,740.0,12915.0,43.0,7.0,100.0,Fully Paid
11550.0, 60 months,16.59,D2,Not Verified,OH,21.07,9.0,39.7,12.0,529.0,525.0,1150.0,59.0,5.0,100.0,Charged Off
33600.0, 36 months,10.78,B4,Source Verified,OH,14.01,14.0,51.8,31.0,699.0,695.0,3068.0,181.0,8.0,96.8,Fully Paid
17475.0, 36 months,13.99,C4,Not Verified,IL,23.58,7.0,52.3,13.0,589.0,585.0,5394.0,163.0,11.0,84.6,Charged Off
9000.0, 36 months,8.49,B1,Not Verified,FL,8.43,12.0,26.7,22.0,674.0,670.0,812.0,181.0,5.0,100.0,Fully Paid
12000.0, 60 months,9.8,B3,Not Verified,KS,23.84,18.0,13.4,37.0,819.0,815.0,10086.0,145.0,4.0,100.0,Fully Paid
4000.0, 36 months,9.17,B2,Verified,NE,15.83,4.0,4.2,24.0,684.0,680.0,1995.0,142.0,9.0,100.0,Fully Paid
10500.0, 36 months,15.77,D1,Source Verified,KS,8.51,5.0,77.4,10.0,674.0,670.0,5265.0,88.0,6.0,80.0,Fully Paid
14000.0, 36 months,9.8,B3,Not Verified,OH,15.97,7.0,36.1,14.0,709.0,705.0,64448.0,216.0,54.0,100.0,Fully Paid
6000.0, 36 months,7.91,A5,Not Verified,OH,14.45,9.0,65.3,11.0,649.0,645.0,20321.0,115.0,19.0,100.0,Fully Paid
15000.0, 36 months,9.8,B3,Not Verified,OR,13.89,7.0,35.2,31.0,724.0,720.0,44714.0,169.0,12.0,100.0,Fully Paid
12000.0, 36 months,9.17,B2,Not Verified,CA,26.32,18.0,34.6,25.0,794.0,790.0,10214.0,111.0,12.0,96.0,Fully Paid
10000.0, 36 months,11.48,B5,Not Verified,IN,21.75,12.0,35.6,20.0,704.0,700.0,1933.0,76.0,5.0,100.0,Fully Paid
4200.0, 36 months,13.99,C4,Source Verified,TN,31.02,10.0,11.7,16.0,634.0,630.0,3887.0,72.0,6.0,87.5,Fully Paid
35000.0, 60 months,20.5,E4,Source Verified,GA,35.69,25.0,32.2,54.0,749.0,745.0,20010.0,115.0,17.0,98.1,Fully Paid
5475.0, 36 months,18.99,E1,Verified,FL,33.47,11.0,41.0,27.0,649.0,645.0,28774.0,192.0,4.0,78.0,Charged Off
6000.0, 36 months,13.44,C3,Source Verified,NC,23.26,4.0,19.2,10.0,639.0,635.0,9616.0,253.0,15.0,100.0,Fully Paid
24000.0, 36 months,9.17,B2,Source Verified,RI,10.11,14.0,39.5,25.0,704.0,700.0,1541.0,367.0,1.0,100.0,Fully Paid
10000.0, 36 months,12.88,C2,Verified,WA,3.3,5.0,64.1,42.0,759.0,755.0,1682.0,132.0,1.0,100.0,Fully Paid
6900.0, 36 months,19.89,E3,Source Verified,NY,9.57,10.0,35.9,16.0,664.0,660.0,409.0,126.0,1.0,87.5,Fully Paid
15975.0, 36 months,16.59,D2,Not Verified,CA,20.45,11.0,71.8,23.0,694.0,690.0,1092.0,198.0,1.0,59.1,Fully Paid
21600.0, 36 months,13.44,C3,Verified,WI,17.64,9.0,60.8,30.0,734.0,730.0,17954.0,174.0,7.0,100.0,Fully Paid
14400.0, 60 months,19.48,E2,Source Verified,NY,17.02,9.0,96.8,19.0,569.0,565.0,4766.0,109.0,4.0,100.0,Charged Off
8000.0, 36 months,13.99,C4,Not Verified,OR,23.26,8.0,40.5,10.0,724.0,720.0,5121.0,115.0,5.0,100.0,Fully Paid
7000.0, 36 months,13.99,C4,Source Verified,DE,21.96,11.0,83.1,28.0,729.0,725.0,7022.0,107.0,12.0,100.0,Fully Paid
20000.0, 36 months,10.78,B4,Not Verified,AL,36.94,18.0,43.0,32.0,804.0,800.0,3384.0,145.0,2.0,100.0,Fully Paid
25825.0, 60 months,26.06,F5,Verified,MD,31.68,18.0,69.7,33.0,679.0,675.0,4855.0,167.0,1.0,97.0,Charged Off
24575.0, 60 months,22.45,F1,Verified,OH,24.16,8.0,79.3,27.0,704.0,700.0,12954.0,197.0,18.0,100.0,Fully Paid
3200.0, 36 months,8.49,B1,Not Verified,MN,20.61,5.0,30.3,13.0,699.0,695.0,1561.0,190.0,7.0,92.3,Fully Paid
22875.0, 60 months,15.77,D1,Not Verified,CA,32.3,22.0,45.8,62.0,794.0,790.0,40172.0,707.0,4.0,100.0,Fully Paid
35000.0, 36 months,13.44,C3,Source Verified,MN,24.19,15.0,51.9,26.0,819.0,815.0,37250.0,114.0,9.0,100.0,Fully Paid
2400.0, 36 months,17.27,D3,Verified,IN,28.38,16.0,41.5,18.0,689.0,685.0,2803.0,173.0,1.0,88.9,Fully Paid
25000.0, 36 months,7.49,A4,Not Verified,MI,13.83,14.0,48.0,32.0,734.0,730.0,5619.0,496.0,19.0,100.0,Fully Paid
8800.0, 36 months,12.88,C2,Not Verified,MA,35.52,20.0,37.5,29.0,709.0,705.0,4767.0,70.0,6.0,100.0,Fully Paid
2500.0, 36 months,11.48,B5,Not Verified,CT,38.06,12.0,8.2,18.0,684.0,680.0,2045.0,104.0,18.0,100.0,Fully Paid
8000.0, 36 months,5.32,A1,Not Verified,MI,14.86,21.0,35.1,64.0,754.0,750.0,2817.0,157.0,15.0,96.8,Fully Paid
20000.0, 36 months,11.99,C1,Not Verified,AL,27.1,15.0,48.2,37.0,579.0,575.0,19371.0,192.0,12.0,100.0,Charged Off
35000.0, 60 months,12.88,C2,Source Verified,MD,13.39,19.0,47.2,32.0,624.0,620.0,17708.0,384.0,2.0,96.9,Charged Off
15000.0, 36 months,7.49,A4,Verified,CA,10.67,10.0,43.5,20.0,754.0,750.0,24258.0,182.0,18.0,85.0,Fully Paid
16000.0, 36 months,15.77,D1,Not Verified,NJ,8.78,7.0,76.1,25.0,544.0,540.0,25497.0,141.0,4.0,100.0,Charged Off
10800.0, 60 months,13.99,C4,Source Verified,FL,26.13,7.0,71.2,14.0,714.0,710.0,3625.0,72.0,30.0,92.9,Fully Paid
7500.0, 36 months,17.97,D4,Source Verified,FL,37.2,8.0,66.7,14.0,679.0,675.0,2149.0,208.0,8.0,100.0,Fully Paid
16000.0, 36 months,10.78,B4,Not Verified,NY,35.19,12.0,46.0,22.0,594.0,590.0,5728.0,108.0,31.0,100.0,Charged Off
9000.0, 36 months,5.32,A1,Not Verified,CA,21.63,18.0,11.7,29.0,759.0,755.0,2847.0,289.0,8.0,96.4,Fully Paid
9500.0, 36 months,15.77,D1,Not Verified,MI,27.95,7.0,55.9,14.0,779.0,775.0,2110.0,94.0,6.0,100.0,Fully Paid
10000.0, 36 months,7.91,A5,Not Verified,CA,29.91,16.0,22.9,30.0,659.0,655.0,1590.0,86.0,4.0,100.0,Charged Off
6000.0, 36 months,7.91,A5,Not Verified,CO,17.92,10.0,4.4,16.0,794.0,790.0,27437.0,133.0,2.0,100.0,Fully Paid
15600.0, 60 months,13.44,C3,Not Verified,NY,15.37,6.0,69.3,13.0,729.0,725.0,16099.0,250.0,3.0,100.0,Fully Paid
35000.0, 36 months,8.49,B1,Source Verified,CA,13.36,11.0,42.9,26.0,799.0,795.0,54280.0,290.0,27.0,100.0,Fully Paid
5000.0, 36 months,11.48,B5,Not Verified,TX,21.21,19.0,54.3,21.0,744.0,740.0,8432.0,246.0,12.0,100.0,Fully Paid
20400.0, 60 months,18.49,D5,Source Verified,AR,38.65,22.0,42.6,49.0,729.0,725.0,11093.0,387.0,2.0,95.9,Fully Paid
8000.0, 36 months,17.97,D4,Not Verified,LA,11.52,18.0,27.4,26.0,514.0,510.0,12995.0,259.0,0.0,92.3,Charged Off
16000.0, 36 months,10.78,B4,Not Verified,IL,13.74,13.0,83.9,17.0,719.0,715.0,2647.0,95.0,12.0,100.0,Fully Paid
18000.0, 36 months,7.91,A5,Not Verified,PA,15.56,5.0,82.6,6.0,514.0,510.0,16813.0,157.0,23.0,100.0,Charged Off
35000.0, 36 months,9.17,B2,Source Verified,FL,25.07,11.0,85.0,26.0,719.0,715.0,10387.0,246.0,17.0,100.0,Fully Paid
13150.0, 36 months,5.32,A1,Not Verified,TX,20.25,13.0,20.1,17.0,724.0,720.0,2236.0,175.0,1.0,100.0,Fully Paid
5600.0, 36 months,9.17,B2,Source Verified,TX,19.85,8.0,64.8,68.0,694.0,690.0,2645.0,245.0,12.0,95.5,Fully Paid
23000.0, 36 months,9.8,B3,Not Verified,VA,17.09,11.0,41.3,25.0,714.0,710.0,16910.0,187.0,5.0,84.0,Fully Paid
12600.0, 60 months,14.85,C5,Not Verified,MD,11.75,14.0,47.5,25.0,684.0,680.0,8061.0,316.0,2.0,100.0,Fully Paid
11000.0, 36 months,16.59,D2,Source Verified,IL,16.85,6.0,61.1,14.0,704.0,700.0,43498.0,182.0,15.0,100.0,Fully Paid
4000.0, 36 months,11.99,C1,Source Verified,NY,12.9,8.0,36.3,12.0,694.0,690.0,10293.0,32.0,1.0,100.0,Fully Paid
20000.0, 36 months,11.48,B5,Not Verified,VA,22.62,10.0,61.5,20.0,689.0,685.0,3939.0,180.0,4.0,100.0,Fully Paid
10000.0, 36 months,9.17,B2,Not Verified,OH,32.7,17.0,59.5,30.0,694.0,690.0,8407.0,230.0,5.0,93.3,Fully Paid
18850.0, 36 months,21.48,E5,Not Verified,NV,15.56,11.0,38.4,26.0,504.0,500.0,21458.0,100.0,4.0,96.2,Charged Off
21000.0, 60 months,11.99,C1,Not Verified,NY,15.07,18.0,35.0,34.0,714.0,710.0,7201.0,315.0,1.0,100.0,Fully Paid
10500.0, 36 months,8.49,B1,Not Verified,WV,15.39,13.0,62.6,19.0,719.0,715.0,8926.0,139.0,1.0,84.2,Fully Paid
4575.0, 36 months,17.27,D3,Not Verified,NJ,10.03,12.0,27.0,17.0,529.0,525.0,198.0,175.0,5.0,100.0,Charged Off
5000.0, 36 months,11.48,B5,Source Verified,NH,27.9,8.0,44.3,11.0,634.0,630.0,6916.0,45.0,2.0,100.0,Fully Paid
8000.0, 36 months,6.99,A3,Not Verified,RI,15.15,12.0,23.7,26.0,674.0,670.0,28824.0,159.0,26.0,100.0,Fully Paid
5000.0, 36 months,11.99,C1,Source Verified,MD,9.16,12.0,28.3,15.0,564.0,560.0,493.0,128.0,9.0,86.7,Charged Off
9075.0, 36 months,5.32,A1,Not Verified,MT,8.39,15.0,16.3,26.0,799.0,795.0,8372.0,375.0,34.0,100.0,Fully Paid
12500.0, 36 months,7.49,A4,Not Verified,CA,6.83,5.0,80.7,7.0,719.0,715.0,2002.0,140.0,26.0,100.0,Fully Paid
19600.0, 60 months,15.77,D1,Source Verified,NH,18.99,15.0,81.1,26.0,614.0,610.0,24412.0,146.0,13.0,100.0,Charged Off
35000.0, 36 months,13.99,C4,Source Verified,FL,10.97,5.0,12.3,7.0,759.0,755.0,40315.0,33.0,9.0,100.0,Fully Paid
28000.0, 60 months,8.49,B1,Not Verified,GA,24.83,16.0,72.0,23.0,694.0,690.0,22858.0,101.0,8.0,95.7,Fully Paid
14000.0, 60 months,15.77,D1,Not Verified,TX,19.24,10.0,25.9,12.0,569.0,565.0,4165.0,414.0,6.0,91.7,Charged Off
16000.0, 36 months,9.8,B3,Not Verified,NY,6.97,10.0,69.8,26.0,554.0,550.0,42637.0,269.0,0.0,80.8,Fully Paid
14000.0, 36 months,5.32,A1,Not Verified,CA,6.73,13.0,16.9,20.0,724.0,720.0,1409.0,193.0,7.0,100.0,Fully Paid
24000.0, 36 months,8.49,B1,Not Verified,TX,22.8,16.0,34.3,52.0,789.0,785.0,4987.0,134.0,3.0,98.0,Fully Paid
35000.0, 36 months,13.99,C4,Source Verified,FL,18.19,17.0,69.6,32.0,689.0,685.0,3255.0,159.0,18.0,100.0,Fully Paid
8000.0, 36 months,11.48,B5,Verified,TN,31.06,9.0,48.4,10.0,674.0,670.0,2858.0,72.0,10.0,100.0,Fully Paid
3600.0, 36 months,13.44,C3,Source Verified,PA,26.45,23.0,30.7,39.0,679.0,675.0,3579.0,102.0,6.0,100.0,Fully Paid
10500.0, 36 months,13.99,C4,Not Verified,CA,30.73,19.0,81.2,38.0,719.0,715.0,8783.0,209.0,0.0,97.4,Fully Paid
3000.0, 36 months,11.48,B5,Verified,CA,12.09,11.0,57.9,22.0,654.0,650.0,27070.0,257.0,1.0,90.9,Fully Paid
16000.0, 36 months,14.85,C5,Source Verified,NY,17.11,13.0,51.2,16.0,614.0,610.0,1558.0,63.0,2.0,100.0,Fully Paid
8000.0, 36 months,7.49,A4,Not Verified,PA,25.01,19.0,41.1,31.0,769.0,765.0,6376.0,189.0,19.0,100.0,Fully Paid
19500.0, 36 months,7.49,A4,Not Verified,CA,13.74,8.0,70.7,20.0,664.0,660.0,5327.0,138.0,49.0,100.0,Fully Paid
2000.0, 36 months,8.49,B1,Source Verified,SC,6.78,7.0,6.8,16.0,839.0,835.0,113218.0,361.0,38.0,100.0,Fully Paid
16000.0, 36 months,5.32,A1,Not Verified,MN,14.45,23.0,29.8,38.0,744.0,740.0,8705.0,139.0,1.0,97.3,Fully Paid
3500.0, 36 months,10.78,B4,Source Verified,CA,17.97,16.0,58.6,30.0,679.0,675.0,24122.0,225.0,4.0,100.0,Fully Paid
6000.0, 36 months,5.32,A1,Not Verified,NY,3.98,14.0,19.4,21.0,784.0,780.0,663.0,183.0,17.0,100.0,Fully Paid
24000.0, 36 months,7.91,A5,Not Verified,MI,26.83,21.0,56.4,39.0,799.0,795.0,8364.0,271.0,13.0,82.1,Fully Paid
14875.0, 60 months,18.49,D5,Verified,TN,36.3,24.0,27.9,49.0,629.0,625.0,2045.0,186.0,3.0,95.1,Charged Off
10000.0, 36 months,11.99,C1,Not Verified,MD,37.55,19.0,24.4,40.0,664.0,660.0,2846.0,354.0,10.0,97.3,Fully Paid
15000.0, 36 months,6.99,A3,Not Verified,MA,14.86,8.0,43.2,17.0,829.0,825.0,38304.0,208.0,8.0,100.0,Fully Paid
10000.0, 36 months,5.32,A1,Not Verified,IN,14.61,11.0,46.6,32.0,754.0,750.0,2929.0,338.0,8.0,90.6,Fully Paid
24000.0, 60 months,19.48,E2,Verified,CO,7.23,14.0,52.5,38.0,724.0,720.0,2283.0,220.0,8.0,92.1,Fully Paid
23525.0, 60 months,17.97,D4,Not Verified,NJ,13.33,13.0,90.9,22.0,724.0,720.0,16394.0,211.0,27.0,90.9,Fully Paid
11000.0, 36 months,10.78,B4,Verified,MD,12.69,12.0,61.9,33.0,694.0,690.0,5724.0,284.0,46.0,97.0,Fully Paid
24000.0, 36 months,9.17,B2,Source Verified,MN,20.16,18.0,65.1,35.0,559.0,555.0,31139.0,160.0,3.0,100.0,Fully Paid
16000.0, 36 months,8.49,B1,Not Verified,TX,14.68,19.0,77.3,25.0,694.0,690.0,12926.0,96.0,8.0,92.0,Fully Paid
15000.0, 60 months,7.91,A5,Verified,NY,17.07,20.0,62.0,25.0,589.0,585.0,4782.0,168.0,2.0,96.0,Charged Off
5000.0, 36 months,11.99,C1,Not Verified,GA,19.56,13.0,50.8,19.0,549.0,545.0,12691.0,81.0,8.0,100.0,Charged Off
15000.0, 36 months,10.78,B4,Source Verified,IN,10.14,16.0,44.7,21.0,664.0,660.0,2134.0,74.0,7.0,100.0,Fully Paid
15000.0, 36 months,9.8,B3,Not Verified,OH,25.56,19.0,25.5,53.0,744.0,740.0,5016.0,456.0,4.0,100.0,Fully Paid
3500.0, 36 months,13.99,C4,Verified,CA,17.65,9.0,78.9,19.0,599.0,595.0,6722.0,354.0,3.0,83.3,Fully Paid
20000.0, 36 months,9.17,B2,Source Verified,NY,12.77,8.0,36.5,13.0,634.0,630.0,4707.0,50.0,7.0,100.0,Fully Paid
